101150,team01,Aegina
101160,team01,Nemea
102150,team02,Aegina
102160,team02,Nemea
103150,team03,Aegina
103160,team03,Nemea
104150,team04,Aegina
104160,team04,Nemea
105150,team05,Aegina
105160,team05,Nemea
106150,team06,Aegina
106160,team06,Nemea
107150,team07,Aegina
107160,team07,Nemea
108150,team08,Aegina
108160,team08,Nemea
109150,team09,Aegina
109160,team09,Nemea
1010150,team10,Aegina
1010160,team10,Nemea
1011150,team11,Aegina
1011160,team11,Nemea
1012150,team12,Aegina
1012160,team12,Nemea
1013150,team13,Aegina
1013160,team13,Nemea
1014150,team14,Aegina
1014160,team14,Nemea
1015150,team15,Aegina
1015160,team15,Nemea
17216130,team01,Ogygia
17216140,team01,Crete
17216230,team02,Ogygia
17216240,team02,Crete
17216330,team03,Ogygia
17216340,team03,Crete
17216430,team04,Ogygia
17216440,team04,Crete
17216530,team05,Ogygia
17216540,team05,Crete
17216630,team06,Ogygia
17216640,team06,Crete
17216730,team07,Ogygia
17216740,team07,Crete
17216830,team08,Ogygia
17216840,team08,Crete
17216930,team09,Ogygia
17216940,team09,Crete
172161030,team10,Ogygia
172161040,team10,Crete
172161130,team11,Ogygia
172161140,team11,Crete
172161230,team12,Ogygia
172161240,team12,Crete
172161330,team13,Ogygia
172161340,team13,Crete
172161430,team14,Ogygia
172161440,team14,Crete
172161530,team15,Ogygia
172161540,team15,Crete
172161630,team16,Ogygia
101140,team01,Kommos
1014140,team14,Kommos
1015140,team15,Kommos
105140,team05,Kommos
103140,team03,Kommos
102140,team02,Kommos
104140,team04,Kommos
107140,team07,Kommos
106140,team06,Kommos
108140,team08,Kommos
1010140,team10,Kommos
1013140,team13,Kommos
1012140,team12,Kommos